2026-04-10 16:12:53 | GET | meus-planos-api/item
2026-04-10 16:12:53 | GET | meus-planos-api/categorias
2026-04-10 16:12:53 | GET | meus-planos-api/item
2026-04-10 16:13:29 | GET | meus-planos-api/categorias
2026-04-10 16:13:36 | GET | meus-planos-api/categorias
2026-04-10 16:14:23 | GET | meus-planos-api/categorias
2026-04-10 16:14:23 | GET | meus-planos-api/item
2026-04-10 16:14:27 | GET | meus-planos-api/categorias
2026-04-10 16:14:27 | GET | meus-planos-api/item
2026-04-10 16:14:53 | GET | meus-planos-api/categorias
2026-04-10 16:14:53 | GET | meus-planos-api/item
2026-04-10 16:14:53 | GET | meus-planos-api/item
2026-04-10 16:17:36 | GET | meus-planos-api/item
2026-04-10 16:17:47 | POST | meus-planos-api/item
2026-04-10 16:17:50 | PUT | meus-planos-api/item
2026-04-10 16:17:53 | DELETE | meus-planos-api/item
2026-04-10 16:18:07 | POST | meus-planos-api/item
2026-04-10 16:22:06 | GET | meus-planos-api/item
2026-04-10 16:22:11 | GET | meus-planos-api/item
2026-04-10 16:22:18 | GET | meus-planos-api
2026-04-10 16:22:19 | GET | meus-planos-api
2026-04-10 16:22:19 | GET | meus-planos-api
2026-04-10 16:22:54 | GET | meus-planos-api
2026-04-10 16:22:54 | GET | meus-planos-api
2026-04-10 16:22:55 | GET | meus-planos-api
2026-04-10 16:22:55 | GET | meus-planos-api
2026-04-10 16:22:55 | GET | meus-planos-api
2026-04-10 16:22:55 | GET | meus-planos-api
2026-04-10 16:22:55 | GET | meus-planos-api
2026-04-10 16:23:21 | GET | meus-planos-api
2026-04-10 16:23:35 | GET | meus-planos-api/itens
2026-04-10 16:23:44 | GET | meus-planos-api/categorias
2026-04-10 16:24:29 | GET | meus-planos-api/itens
2026-04-10 16:24:29 | GET | meus-planos-api/categorias
2026-04-10 16:24:29 | GET | meus-planos-api/itens
2026-04-10 16:24:58 | GET | meus-planos-api/categorias
2026-04-10 16:24:58 | GET | meus-planos-api/itens
